Program Name,Cust,Description,Updates to TMM,Type
imsr2aa.w,Nextgen,Open orders to excel report,,Reports
imsr2ab.w,WFB,Truck load report,,Reports
imsr2ac.w,WFB,Group shipping report,,Reports
imsr2ad.w,WFB,MS Shipping report,,Reports
imsr2ae.w,WDP,Leadtime Status report,,Reports
imsr2af.w,WDP,Allocation report - V1,,Reports
imsr2ag.w,Novation,Schedule status dump,,Reports
imsb2aaa.p,Ventramex,Barcode Physical inventory program,PHY,Barcoding
imsb2aba.p,Ventramex,Barcode Receivng,DTR receiving interface,Barcoding
imsb2aa.p,Rowmark,Monarch Serial Label print,,Barcoding
imsb2ab.p,American Louver,Raw Matl transfer,,Barcoding
imsb2ac.p,Tasus,Production Transfer,,Barcoding
imsb2ad.p,Tasus,Inventory Transfer,,Barcoding
imsb2ae.p,Tasus,Order Pick,,Barcoding
imsb2af.p,Tasus,Order Correct,,Barcoding
imsb2ag.p,Tasus,Location inquiry,,Barcoding
imsb2ah.p,Rowmark,Raw Matl transfer with print,,Barcoding
imsb2ai.p,Cornerstone,Combined std & ASN shipping,,Barcoding
imsb2aj.p,DA,Location inquiry,,Barcoding
imsb2ak.p,"Hunter,Timmerije",Item Lookup,,Barcoding
imsb2al.p,"Hunter,Timmerije",Location inquiry,,Barcoding
imsb2am.p,Hunter,Receipt Putaway,,Barcoding
imsb2an.p,Timmerije,Physical inventory & relabel (raw),,Barcoding
imsb2ao.p,Northstar,General inquiry,,Barcoding
imsb2ap.p,Schnipke,Bag & Box Label Print,,Barcoding
imsb2aq.p,Next Gen,Scrap Pallet program,,Barcoding
imsb2ar.p,PPD,Label Reprint - PO change,,Barcoding
imsb2as.p,DA,Serial status inquiry,,Barcoding
imsb2at.p,DA,Clear produced flag,,Barcoding
imsb2au.p,Toray,Misc label print,,Barcoding
imsb2av.p,Toray,Misc FG label print,,Barcoding
imsb2aw.p,Adkev,Production Transfer,,Barcoding
imsb2ax.p,Tasus,Location inquiry,,Barcoding
