imsProgGui[programName = imsr2aa.w, customer = Nextgen, description = Open orders to excel report, updates = , type = Reports]
imsProgGui[programName = imsr2ab.w, customer = WFB, description = Truck load report, updates = , type = Reports]
imsProgGui[programName = imsr2ac.w, customer = WFB, description = Group shipping report, updates = , type = Reports]
imsProgGui[programName = imsr2ad.w, customer = WFB, description = MS Shipping report, updates = , type = Reports]
imsProgGui[programName = imsr2ae.w, customer = WDP, description = Leadtime Status report, updates = , type = Reports]
imsProgGui[programName = imsr2af.w, customer = WDP, description = Allocation report - V1, updates = , type = Reports]
imsProgGui[programName = imsr2ag.w, customer = Novation, description = Schedule status dump, updates = , type = Reports]
imsProgGui[programName = imsb2aaa.p, customer = Ventramex, description = Barcode Physical inventory program, updates = PHY, type = Barcoding]
imsProgGui[programName = imsb2aba.p, customer = Ventramex, description = Barcode Receivng, updates = DTR receiving interface, type = Barcoding]
imsProgGui[programName = imsb2aa.p, customer = Rowmark, description = Monarch Serial Label print, updates = , type = Barcoding]
imsProgGui[programName = imsb2ab.p, customer = American Louver, description = Raw Matl transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2ac.p, customer = Tasus, description = Production Transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2ad.p, customer = Tasus, description = Inventory Transfer, updates = , type = Barcoding]
imsProgGui[programName = imsb2ae.p, customer = Tasus, description = Order Pick, updates = , type = Barcoding]
imsProgGui[programName = imsb2af.p, customer = Tasus, description = Order Correct, updates = , type = Barcoding]
imsProgGui[programName = imsb2ag.p, customer = Tasus, description = Location inquiry, updates = , type = Barcoding]
imsProgGui[programName = imsb2ah.p, customer = Rowmark, description = Raw Matl transfer with print, updates = , type = Barcoding]
imsProgGui[programName = imsb2ai.p, customer = Cornerstone, description = Combined std & ASN shipping, updates = , type = Barcoding]
imsProgGui[programName = imsb2aj.p, customer = DA, description = Location inquiry, updates = , type = Barcoding]
imsProgGui[programName = imsb2ak.p, customer = Hunter,Timmerije, description = Item Lookup, updates = , type = Barcoding]
imsProgGui[programName = imsb2al.p, customer = Hunter,Timmerije, description = Location inquiry, updates = , type = Barcoding]
imsProgGui[programName = imsb2am.p, customer = Hunter, description = Receipt Putaway, updates = , type = Barcoding]
imsProgGui[programName = imsb2an.p, customer = Timmerije, description = Physical inventory & relabel (raw), updates = , type = Barcoding]
imsProgGui[programName = imsb2ao.p, customer = Northstar, description = General inquiry, updates = , type = Barcoding]
imsProgGui[programName = imsb2ap.p, customer = Schnipke, description = Bag & Box Label Print, updates = , type = Barcoding]
imsProgGui[programName = imsb2aq.p, customer = Next Gen, description = Scrap Pallet program, updates = , type = Barcoding]
